epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/acc_speed,train/acc_x,train/acc_y,train/acc_yaw,train/loss_all,train/loss_egospeed,train/loss_forecast,train/loss_path,train/loss_speed,train/loss_wp,train/loss_x,train/loss_y,train/loss_yaw,val/loss_all,val/loss_egospeed,val/loss_forecast,val/loss_path,val/loss_wp
,3.9459459459459455e-05,3.9459459459459455e-05,219,,,,,,,,,,,,,,,,,,
,4.036036036036036e-05,4.036036036036036e-05,224,,,,,,,,,,,,,,,,,,
,4.126126126126125e-05,4.126126126126125e-05,229,,,,,,,,,,,,,,,,,,
,4.216216216216216e-05,4.216216216216216e-05,234,,,,,,,,,,,,,,,,,,
,4.3063063063063056e-05,4.3063063063063056e-05,239,,,,,,,,,,,,,,,,,,
,4.396396396396396e-05,4.396396396396396e-05,244,,,,,,,,,,,,,,,,,,
,4.486486486486486e-05,4.486486486486486e-05,249,,,,,,,,,,,,,,,,,,
,4.576576576576576e-05,4.576576576576576e-05,254,,,,,,,,,,,,,,,,,,
,4.6666666666666665e-05,4.6666666666666665e-05,259,,,,,,,,,,,,,,,,,,
,4.7567567567567564e-05,4.7567567567567564e-05,264,,,,,,,,,,,,,,,,,,
,4.846846846846847e-05,4.846846846846847e-05,269,,,,,,,,,,,,,,,,,,
,4.936936936936936e-05,4.936936936936936e-05,274,,,,,,,,,,,,,,,,,,
,5.0270270270270267e-05,5.0270270270270267e-05,279,,,,,,,,,,,,,,,,,,
,5.1171171171171165e-05,5.1171171171171165e-05,284,,,,,,,,,,,,,,,,,,
,5.207207207207207e-05,5.207207207207207e-05,289,,,,,,,,,,,,,,,,,,
,5.297297297297297e-05,5.297297297297297e-05,294,,,,,,,,,,,,,,,,,,
,5.387387387387387e-05,5.387387387387387e-05,299,,,,,,,,,,,,,,,,,,
,5.4774774774774774e-05,5.4774774774774774e-05,304,,,,,,,,,,,,,,,,,,
,5.5675675675675666e-05,5.5675675675675666e-05,309,,,,,,,,,,,,,,,,,,
,5.657657657657657e-05,5.657657657657657e-05,314,,,,,,,,,,,,,,,,,,
,5.747747747747747e-05,5.747747747747747e-05,319,,,,,,,,,,,,,,,,,,
,5.8378378378378376e-05,5.8378378378378376e-05,324,,,,,,,,,,,,,,,,,,
,5.9279279279279274e-05,5.9279279279279274e-05,329,,,,,,,,,,,,,,,,,,
,6.018018018018017e-05,6.018018018018017e-05,334,,,,,,,,,,,,,,,,,,
,6.108108108108108e-05,6.108108108108108e-05,339,,,,,,,,,,,,,,,,,,
,6.198198198198198e-05,6.198198198198198e-05,344,,,,,,,,,,,,,,,,,,
,6.288288288288288e-05,6.288288288288288e-05,349,,,,,,,,,,,,,,,,,,
,6.378378378378377e-05,6.378378378378377e-05,354,,,,,,,,,,,,,,,,,,
,6.468468468468469e-05,6.468468468468469e-05,359,,,,,,,,,,,,,,,,,,
,6.558558558558557e-05,6.558558558558557e-05,364,,,,,,,,,,,,,,,,,,
,6.648648648648648e-05,6.648648648648648e-05,369,,,,,,,,,,,,,,,,,,
,6.738738738738738e-05,6.738738738738738e-05,374,,,,,,,,,,,,,,,,,,
,6.828828828828828e-05,6.828828828828828e-05,379,,,,,,,,,,,,,,,,,,
,6.918918918918918e-05,6.918918918918918e-05,384,,,,,,,,,,,,,,,,,,
,7.009009009009008e-05,7.009009009009008e-05,389,,,,,,,,,,,,,,,,,,
,7.099099099099099e-05,7.099099099099099e-05,394,,,,,,,,,,,,,,,,,,
,7.189189189189189e-05,7.189189189189189e-05,399,,,,,,,,,,,,,,,,,,
,7.279279279279279e-05,7.279279279279279e-05,404,,,,,,,,,,,,,,,,,,
,7.369369369369369e-05,7.369369369369369e-05,409,,,,,,,,,,,,,,,,,,
,7.459459459459459e-05,7.459459459459459e-05,414,,,,,,,,,,,,,,,,,,
,7.549549549549549e-05,7.549549549549549e-05,419,,,,,,,,,,,,,,,,,,
,7.639639639639638e-05,7.639639639639638e-05,424,,,,,,,,,,,,,,,,,,
,7.729729729729728e-05,7.729729729729728e-05,429,,,,,,,,,,,,,,,,,,
,7.81981981981982e-05,7.81981981981982e-05,434,,,,,,,,,,,,,,,,,,
,7.90990990990991e-05,7.90990990990991e-05,439,,,,,,,,,,,,,,,,,,
,7.999999999999999e-05,7.999999999999999e-05,444,,,,,,,,,,,,,,,,,,
,8.090090090090089e-05,8.090090090090089e-05,449,,,,,,,,,,,,,,,,,,
,8.18018018018018e-05,8.18018018018018e-05,454,,,,,,,,,,,,,,,,,,
,8.27027027027027e-05,8.27027027027027e-05,459,,,,,,,,,,,,,,,,,,
,8.36036036036036e-05,8.36036036036036e-05,464,,,,,,,,,,,,,,,,,,
,8.45045045045045e-05,8.45045045045045e-05,469,,,,,,,,,,,,,,,,,,
,8.540540540540539e-05,8.540540540540539e-05,474,,,,,,,,,,,,,,,,,,
,8.630630630630631e-05,8.630630630630631e-05,479,,,,,,,,,,,,,,,,,,
,8.72072072072072e-05,8.72072072072072e-05,484,,,,,,,,,,,,,,,,,,
,8.81081081081081e-05,8.81081081081081e-05,489,,,,,,,,,,,,,,,,,,
,8.9009009009009e-05,8.9009009009009e-05,494,,,,,,,,,,,,,,,,,,
,8.990990990990989e-05,8.990990990990989e-05,499,,,,,,,,,,,,,,,,,,
,9.08108108108108e-05,9.08108108108108e-05,504,,,,,,,,,,,,,,,,,,
,9.17117117117117e-05,9.17117117117117e-05,509,,,,,,,,,,,,,,,,,,
,9.26126126126126e-05,9.26126126126126e-05,514,,,,,,,,,,,,,,,,,,
,9.35135135135135e-05,9.35135135135135e-05,519,,,,,,,,,,,,,,,,,,
,9.441441441441441e-05,9.441441441441441e-05,524,,,,,,,,,,,,,,,,,,
,9.531531531531531e-05,9.531531531531531e-05,529,,,,,,,,,,,,,,,,,,
,9.621621621621621e-05,9.621621621621621e-05,534,,,,,,,,,,,,,,,,,,
,9.711711711711711e-05,9.711711711711711e-05,539,,,,,,,,,,,,,,,,,,
,9.801801801801801e-05,9.801801801801801e-05,544,,,,,,,,,,,,,,,,,,
,9.891891891891892e-05,9.891891891891892e-05,549,,,,,,,,,,,,,,,,,,
,9.981981981981982e-05,9.981981981981982e-05,554,,,,,,,,,,,,,,,,,,
,0.0001007207207207207,0.0001007207207207207,559,,,,,,,,,,,,,,,,,,
,0.0001016216216216216,0.0001016216216216216,564,,,,,,,,,,,,,,,,,,
,0.00010252252252252252,0.00010252252252252252,569,,,,,,,,,,,,,,,,,,
,0.00010342342342342341,0.00010342342342342341,574,,,,,,,,,,,,,,,,,,
,0.00010432432432432431,0.00010432432432432431,579,,,,,,,,,,,,,,,,,,
,0.00010522522522522521,0.00010522522522522521,584,,,,,,,,,,,,,,,,,,
,0.00010612612612612611,0.00010612612612612611,589,,,,,,,,,,,,,,,,,,
,0.00010702702702702702,0.00010702702702702702,594,,,,,,,,,,,,,,,,,,
,0.00010792792792792792,0.00010792792792792792,599,,,,,,,,,,,,,,,,,,
,0.00010882882882882882,0.00010882882882882882,604,,,,,,,,,,,,,,,,,,
,0.00010972972972972972,0.00010972972972972972,609,,,,,,,,,,,,,,,,,,
,0.00011063063063063063,0.00011063063063063063,614,,,,,,,,,,,,,,,,,,
,0.00011153153153153153,0.00011153153153153153,619,,,,,,,,,,,,,,,,,,
,0.00011243243243243243,0.00011243243243243243,624,,,,,,,,,,,,,,,,,,
,0.00011333333333333331,0.00011333333333333331,629,,,,,,,,,,,,,,,,,,
,0.00011423423423423421,0.00011423423423423421,634,,,,,,,,,,,,,,,,,,
,0.00011513513513513513,0.00011513513513513513,639,,,,,,,,,,,,,,,,,,
,0.00011603603603603602,0.00011603603603603602,644,,,,,,,,,,,,,,,,,,
,0.00011693693693693692,0.00011693693693693692,649,,,,,,,,,,,,,,,,,,
,0.00011783783783783782,0.00011783783783783782,654,,,,,,,,,,,,,,,,,,
,0.00011873873873873872,0.00011873873873873872,659,,,,,,,,,,,,,,,,,,
,0.00011963963963963963,0.00011963963963963963,664,,,,,,,,,,,,,,,,,,
,0.00012054054054054053,0.00012054054054054053,669,,,,,,,,,,,,,,,,,,
,0.00012144144144144143,0.00012144144144144143,674,,,,,,,,,,,,,,,,,,
,0.00012234234234234233,0.00012234234234234233,679,,,,,,,,,,,,,,,,,,
,0.00012324324324324324,0.00012324324324324324,684,,,,,,,,,,,,,,,,,,
,0.00012414414414414413,0.00012414414414414413,689,,,,,,,,,,,,,,,,,,
0,,,693,,,,,,,,,,,,,,8.739356994628906,2.2977118492126465,3.6374802589416504,0.462588906288147,0.4912204444408417
0,,,693,0.2778055965900421,0.014234477654099464,0.022224536165595055,0.15597496926784515,9.148015975952148,2.1094181537628174,3.8542635440826416,0.5085564851760864,2.0657992362976074,0.6415555477142334,5.283205032348633,4.871586322784424,3.196471929550171,,,,,
,0.00012504504504504504,0.00012504504504504504,694,,,,,,,,,,,,,,,,,,
,0.00012594594594594592,0.00012594594594594592,699,,,,,,,,,,,,,,,,,,
,0.00012684684684684684,0.00012684684684684684,704,,,,,,,,,,,,,,,,,,
,0.00012774774774774775,0.00012774774774774775,709,,,,,,,,,,,,,,,,,,
,0.00012864864864864863,0.00012864864864864863,714,,,,,,,,,,,,,,,,,,
,0.00012954954954954955,0.00012954954954954955,719,,,,,,,,,,,,,,,,,,
,0.00013045045045045043,0.00013045045045045043,724,,,,,,,,,,,,,,,,,,
,0.00013135135135135134,0.00013135135135135134,729,,,,,,,,,,,,,,,,,,
,0.00013225225225225226,0.00013225225225225226,734,,,,,,,,,,,,,,,,,,
,0.00013315315315315314,0.00013315315315315314,739,,,,,,,,,,,,,,,,,,
,0.00013405405405405403,0.00013405405405405403,744,,,,,,,,,,,,,,,,,,
,0.00013495495495495494,0.00013495495495495494,749,,,,,,,,,,,,,,,,,,
,0.00013585585585585585,0.00013585585585585585,754,,,,,,,,,,,,,,,,,,
,0.00013675675675675674,0.00013675675675675674,759,,,,,,,,,,,,,,,,,,
,0.00013765765765765765,0.00013765765765765765,764,,,,,,,,,,,,,,,,,,
,0.00013855855855855853,0.00013855855855855853,769,,,,,,,,,,,,,,,,,,
,0.00013945945945945945,0.00013945945945945945,774,,,,,,,,,,,,,,,,,,
,0.00014036036036036036,0.00014036036036036036,779,,,,,,,,,,,,,,,,,,
,0.00014126126126126124,0.00014126126126126124,784,,,,,,,,,,,,,,,,,,
,0.00014216216216216216,0.00014216216216216216,789,,,,,,,,,,,,,,,,,,
,0.00014306306306306304,0.00014306306306306304,794,,,,,,,,,,,,,,,,,,
,0.00014396396396396395,0.00014396396396396395,799,,,,,,,,,,,,,,,,,,
,0.00014486486486486487,0.00014486486486486487,804,,,,,,,,,,,,,,,,,,
,0.00014576576576576575,0.00014576576576576575,809,,,,,,,,,,,,,,,,,,
,0.00014666666666666664,0.00014666666666666664,814,,,,,,,,,,,,,,,,,,
,0.00014756756756756758,0.00014756756756756758,819,,,,,,,,,,,,,,,,,,
,0.00014846846846846846,0.00014846846846846846,824,,,,,,,,,,,,,,,,,,
,0.00014936936936936935,0.00014936936936936935,829,,,,,,,,,,,,,,,,,,
,0.00015027027027027026,0.00015027027027027026,834,,,,,,,,,,,,,,,,,,
,0.00015117117117117117,0.00015117117117117117,839,,,,,,,,,,,,,,,,,,
,0.00015207207207207206,0.00015207207207207206,844,,,,,,,,,,,,,,,,,,
,0.00015297297297297297,0.00015297297297297297,849,,,,,,,,,,,,,,,,,,
,0.00015387387387387388,0.00015387387387387388,854,,,,,,,,,,,,,,,,,,
,0.00015477477477477477,0.00015477477477477477,859,,,,,,,,,,,,,,,,,,
,0.00015567567567567568,0.00015567567567567568,864,,,,,,,,,,,,,,,,,,
,0.00015657657657657656,0.00015657657657657656,869,,,,,,,,,,,,,,,,,,
,0.00015747747747747747,0.00015747747747747747,874,,,,,,,,,,,,,,,,,,
,0.0001583783783783784,0.0001583783783783784,879,,,,,,,,,,,,,,,,,,
,0.00015927927927927927,0.00015927927927927927,884,,,,,,,,,,,,,,,,,,
,0.00016018018018018018,0.00016018018018018018,889,,,,,,,,,,,,,,,,,,
,0.00016108108108108104,0.00016108108108108104,894,,,,,,,,,,,,,,,,,,
,0.00016198198198198196,0.00016198198198198196,899,,,,,,,,,,,,,,,,,,
,0.0001628828828828829,0.0001628828828828829,904,,,,,,,,,,,,,,,,,,
,0.00016378378378378375,0.00016378378378378375,909,,,,,,,,,,,,,,,,,,
,0.00016468468468468466,0.00016468468468468466,914,,,,,,,,,,,,,,,,,,
,0.00016558558558558555,0.00016558558558558555,919,,,,,,,,,,,,,,,,,,
,0.00016648648648648646,0.00016648648648648646,924,,,,,,,,,,,,,,,,,,
,0.00016738738738738737,0.00016738738738738737,929,,,,,,,,,,,,,,,,,,
,0.00016828828828828826,0.00016828828828828826,934,,,,,,,,,,,,,,,,,,
,0.00016918918918918917,0.00016918918918918917,939,,,,,,,,,,,,,,,,,,
,0.00017009009009009006,0.00017009009009009006,944,,,,,,,,,,,,,,,,,,
,0.00017099099099099097,0.00017099099099099097,949,,,,,,,,,,,,,,,,,,
,0.00017189189189189188,0.00017189189189189188,954,,,,,,,,,,,,,,,,,,
,0.00017279279279279277,0.00017279279279279277,959,,,,,,,,,,,,,,,,,,
,0.00017369369369369368,0.00017369369369369368,964,,,,,,,,,,,,,,,,,,
,0.0001745945945945946,0.0001745945945945946,969,,,,,,,,,,,,,,,,,,
,0.00017549549549549548,0.00017549549549549548,974,,,,,,,,,,,,,,,,,,
,0.0001763963963963964,0.0001763963963963964,979,,,,,,,,,,,,,,,,,,
,0.00017729729729729727,0.00017729729729729727,984,,,,,,,,,,,,,,,,,,
,0.0001781981981981982,0.0001781981981981982,989,,,,,,,,,,,,,,,,,,
,0.0001790990990990991,0.0001790990990990991,994,,,,,,,,,,,,,,,,,,
,0.00017999999999999998,0.00017999999999999998,999,,,,,,,,,,,,,,,,,,
,0.0001809009009009009,0.0001809009009009009,1004,,,,,,,,,,,,,,,,,,
,0.00018180180180180178,0.00018180180180180178,1009,,,,,,,,,,,,,,,,,,
,0.0001827027027027027,0.0001827027027027027,1014,,,,,,,,,,,,,,,,,,
,0.0001836036036036036,0.0001836036036036036,1019,,,,,,,,,,,,,,,,,,
,0.0001845045045045045,0.0001845045045045045,1024,,,,,,,,,,,,,,,,,,
,0.0001854054054054054,0.0001854054054054054,1029,,,,,,,,,,,,,,,,,,
,0.00018630630630630626,0.00018630630630630626,1034,,,,,,,,,,,,,,,,,,
,0.0001872072072072072,0.0001872072072072072,1039,,,,,,,,,,,,,,,,,,
,0.00018810810810810811,0.00018810810810810811,1044,,,,,,,,,,,,,,,,,,
,0.00018900900900900897,0.00018900900900900897,1049,,,,,,,,,,,,,,,,,,
,0.00018990990990990988,0.00018990990990990988,1054,,,,,,,,,,,,,,,,,,
,0.00019081081081081082,0.00019081081081081082,1059,,,,,,,,,,,,,,,,,,
,0.00019171171171171168,0.00019171171171171168,1064,,,,,,,,,,,,,,,,,,
,0.0001926126126126126,0.0001926126126126126,1069,,,,,,,,,,,,,,,,,,
,0.00019351351351351348,0.00019351351351351348,1074,,,,,,,,,,,,,,,,,,
,0.0001944144144144144,0.0001944144144144144,1079,,,,,,,,,,,,,,,,,,
,0.0001953153153153153,0.0001953153153153153,1084,,,,,,,,,,,,,,,,,,
,0.0001962162162162162,0.0001962162162162162,1089,,,,,,,,,,,,,,,,,,
,0.0001971171171171171,0.0001971171171171171,1094,,,,,,,,,,,,,,,,,,
,0.00019801801801801799,0.00019801801801801799,1099,,,,,,,,,,,,,,,,,,
,0.0001989189189189189,0.0001989189189189189,1104,,,,,,,,,,,,,,,,,,
,0.0001998198198198198,0.0001998198198198198,1109,,,,,,,,,,,,,,,,,,
,0.0002007207207207207,0.0002007207207207207,1114,,,,,,,,,,,,,,,,,,
,0.0002016216216216216,0.0002016216216216216,1119,,,,,,,,,,,,,,,,,,
,0.0002025225225225225,0.0002025225225225225,1124,,,,,,,,,,,,,,,,,,
,0.0002034234234234234,0.0002034234234234234,1129,,,,,,,,,,,,,,,,,,
,0.00020432432432432432,0.00020432432432432432,1134,,,,,,,,,,,,,,,,,,
,0.0002052252252252252,0.0002052252252252252,1139,,,,,,,,,,,,,,,,,,
,0.00020612612612612612,0.00020612612612612612,1144,,,,,,,,,,,,,,,,,,
,0.000207027027027027,0.000207027027027027,1149,,,,,,,,,,,,,,,,,,
,0.0002079279279279279,0.0002079279279279279,1154,,,,,,,,,,,,,,,,,,
,0.00020882882882882883,0.00020882882882882883,1159,,,,,,,,,,,,,,,,,,
,0.0002097297297297297,0.0002097297297297297,1164,,,,,,,,,,,,,,,,,,
,0.00021063063063063062,0.00021063063063063062,1169,,,,,,,,,,,,,,,,,,
,0.00021153153153153154,0.00021153153153153154,1174,,,,,,,,,,,,,,,,,,
,0.00021243243243243242,0.00021243243243243242,1179,,,,,,,,,,,,,,,,,,
,0.00021333333333333333,0.00021333333333333333,1184,,,,,,,,,,,,,,,,,,
,0.0002142342342342342,0.0002142342342342342,1189,,,,,,,,,,,,,,,,,,
,0.00021513513513513513,0.00021513513513513513,1194,,,,,,,,,,,,,,,,,,
,0.00021603603603603604,0.00021603603603603604,1199,,,,,,,,,,,,,,,,,,
,0.0002169369369369369,0.0002169369369369369,1204,,,,,,,,,,,,,,,,,,
,0.0002178378378378378,0.0002178378378378378,1209,,,,,,,,,,,,,,,,,,
,0.0002187387387387387,0.0002187387387387387,1214,,,,,,,,,,,,,,,,,,
,0.0002196396396396396,0.0002196396396396396,1219,,,,,,,,,,,,,,,,,,
,0.00022054054054054052,0.00022054054054054052,1224,,,,,,,,,,,,,,,,,,
,0.0002214414414414414,0.0002214414414414414,1229,,,,,,,,,,,,,,,,,,
,0.00022234234234234232,0.00022234234234234232,1234,,,,,,,,,,,,,,,,,,
,0.0002232432432432432,0.0002232432432432432,1239,,,,,,,,,,,,,,,,,,
,0.00022414414414414412,0.00022414414414414412,1244,,,,,,,,,,,,,,,,,,
,0.00022504504504504503,0.00022504504504504503,1249,,,,,,,,,,,,,,,,,,
,0.00022594594594594592,0.00022594594594594592,1254,,,,,,,,,,,,,,,,,,
,0.00022684684684684683,0.00022684684684684683,1259,,,,,,,,,,,,,,,,,,
,0.00022774774774774774,0.00022774774774774774,1264,,,,,,,,,,,,,,,,,,
,0.00022864864864864862,0.00022864864864864862,1269,,,,,,,,,,,,,,,,,,
,0.00022954954954954954,0.00022954954954954954,1274,,,,,,,,,,,,,,,,,,
,0.00023045045045045042,0.00023045045045045042,1279,,,,,,,,,,,,,,,,,,
,0.00023135135135135133,0.00023135135135135133,1284,,,,,,,,,,,,,,,,,,
,0.00023225225225225225,0.00023225225225225225,1289,,,,,,,,,,,,,,,,,,
,0.00023315315315315313,0.00023315315315315313,1294,,,,,,,,,,,,,,,,,,
,0.00023405405405405404,0.00023405405405405404,1299,,,,,,,,,,,,,,,,,,
,0.00023495495495495493,0.00023495495495495493,1304,,,,,,,,,,,,,,,,,,
,0.00023585585585585584,0.00023585585585585584,1309,,,,,,,,,,,,,,,,,,
,0.00023675675675675675,0.00023675675675675675,1314,,,,,,,,,,,,,,,,,,
,0.00023765765765765764,0.00023765765765765764,1319,,,,,,,,,,,,,,,,,,
,0.00023855855855855855,0.00023855855855855855,1324,,,,,,,,,,,,,,,,,,
,0.00023945945945945944,0.00023945945945945944,1329,,,,,,,,,,,,,,,,,,
,0.00024036036036036035,0.00024036036036036035,1334,,,,,,,,,,,,,,,,,,
,0.00024126126126126126,0.00024126126126126126,1339,,,,,,,,,,,,,,,,,,
,0.00024216216216216212,0.00024216216216216212,1344,,,,,,,,,,,,,,,,,,
,0.00024306306306306306,0.00024306306306306306,1349,,,,,,,,,,,,,,,,,,
,0.00024396396396396392,0.00024396396396396392,1354,,,,,,,,,,,,,,,,,,
,0.00024486486486486486,0.00024486486486486486,1359,,,,,,,,,,,,,,,,,,
,0.00024576576576576574,0.00024576576576576574,1364,,,,,,,,,,,,,,,,,,
,0.0002466666666666666,0.0002466666666666666,1369,,,,,,,,,,,,,,,,,,
,0.00024756756756756757,0.00024756756756756757,1374,,,,,,,,,,,,,,,,,,
,0.00024846846846846845,0.00024846846846846845,1379,,,,,,,,,,,,,,,,,,
,0.00024936936936936934,0.00024936936936936934,1384,,,,,,,,,,,,,,,,,,
1,,,1387,,,,,,,,,,,,,,9.271136283874512,3.4618406295776367,3.418031692504883,0.4000343680381775,0.3910942077636719
1,,,1387,0.3519630432128906,0.023284368216991425,0.03775075450539589,0.24017548561096191,6.305784225463867,1.1765961647033691,3.447756767272949,0.2771705090999603,1.7694123983383179,0.29557058215141296,4.898836135864258,4.449504375457764,2.6732826232910156,,,,,
,0.0002502702702702703,0.0002502702702702703,1389,,,,,,,,,,,,,,,,,,
,0.00025117117117117116,0.00025117117117117116,1394,,,,,,,,,,,,,,,,,,
,0.00025207207207207205,0.00025207207207207205,1399,,,,,,,,,,,,,,,,,,
,0.000252972972972973,0.000252972972972973,1404,,,,,,,,,,,,,,,,,,
,0.00025387387387387387,0.00025387387387387387,1409,,,,,,,,,,,,,,,,,,
,0.00025477477477477476,0.00025477477477477476,1414,,,,,,,,,,,,,,,,,,
,0.00025567567567567564,0.00025567567567567564,1419,,,,,,,,,,,,,,,,,,
,0.0002565765765765765,0.0002565765765765765,1424,,,,,,,,,,,,,,,,,,
,0.00025747747747747747,0.00025747747747747747,1429,,,,,,,,,,,,,,,,,,
,0.00025837837837837835,0.00025837837837837835,1434,,,,,,,,,,,,,,,,,,
,0.00025927927927927924,0.00025927927927927924,1439,,,,,,,,,,,,,,,,,,
,0.0002601801801801801,0.0002601801801801801,1444,,,,,,,,,,,,,,,,,,
,0.00026108108108108106,0.00026108108108108106,1449,,,,,,,,,,,,,,,,,,
,0.00026198198198198195,0.00026198198198198195,1454,,,,,,,,,,,,,,,,,,
,0.00026288288288288283,0.00026288288288288283,1459,,,,,,,,,,,,,,,,,,
,0.00026378378378378377,0.00026378378378378377,1464,,,,,,,,,,,,,,,,,,
,0.00026468468468468466,0.00026468468468468466,1469,,,,,,,,,,,,,,,,,,
,0.00026558558558558554,0.00026558558558558554,1474,,,,,,,,,,,,,,,,,,
,0.0002664864864864865,0.0002664864864864865,1479,,,,,,,,,,,,,,,,,,
,0.00026738738738738737,0.00026738738738738737,1484,,,,,,,,,,,,,,,,,,
,0.00026828828828828825,0.00026828828828828825,1489,,,,,,,,,,,,,,,,,,
,0.0002691891891891892,0.0002691891891891892,1494,,,,,,,,,,,,,,,,,,
,0.0002700900900900901,0.0002700900900900901,1499,,,,,,,,,,,,,,,,,,
,0.00027099099099099096,0.00027099099099099096,1504,,,,,,,,,,,,,,,,,,
,0.00027189189189189185,0.00027189189189189185,1509,,,,,,,,,,,,,,,,,,
,0.0002727927927927928,0.0002727927927927928,1514,,,,,,,,,,,,,,,,,,
,0.00027369369369369367,0.00027369369369369367,1519,,,,,,,,,,,,,,,,,,
,0.00027459459459459456,0.00027459459459459456,1524,,,,,,,,,,,,,,,,,,
,0.0002754954954954955,0.0002754954954954955,1529,,,,,,,,,,,,,,,,,,
,0.0002763963963963964,0.0002763963963963964,1534,,,,,,,,,,,,,,,,,,
,0.00027729729729729727,0.00027729729729729727,1539,,,,,,,,,,,,,,,,,,
,0.0002781981981981982,0.0002781981981981982,1544,,,,,,,,,,,,,,,,,,
,0.0002790990990990991,0.0002790990990990991,1549,,,,,,,,,,,,,,,,,,
,0.00028,0.00028,1554,,,,,,,,,,,,,,,,,,
,0.00028090090090090086,0.00028090090090090086,1559,,,,,,,,,,,,,,,,,,
,0.0002818018018018018,0.0002818018018018018,1564,,,,,,,,,,,,,,,,,,
,0.0002827027027027027,0.0002827027027027027,1569,,,,,,,,,,,,,,,,,,
